I,1,Cog,3.75,14,4,40,12
O,2,Spring,2.3,7,5,20,C1
O,3,Screw,0.11,280,100,1000,CompanyLtd
O,4,part1,1.34,15,2,15,me
I,5,part2,1.23,11,1,11,1
O,6,p3,1.0,11,1,13,eegef
I,7,p111,1.23,11,2,12,23
O,8,part10,1.51,5,2,19,none
I,10,part11,1.23,1,1,9,123
I,11,part12,1.89,3,1,8,124
I,12,part1,12.0,90,90,150,12321
I,13,2,1.1,999,0,999,2
I,14,BVA1,0.1,1,0,1,132
I,15,minlessthanzero,1.0,1,-5,10,123
I,16,part1,12.0,90,90,150,12321
I,17,2,1.1,999,0,999,2
I,18,BVA1,0.1,100,10,111,132
I,19,BVA1,1.1,1,0,1,132
I,20,part1,12.0,90,90,150,12321
I,21,2,1.1,999,0,999,2
I,22,BVA1,0.1,100,10,111,132
I,23,BVA1,1.1,1,0,1,132
I,24,part1,12.0,90,90,150,12321
I,25,2,1.1,999,0,999,2
I,26,BVA1,0.1,100,10,111,132
I,27,BVA1,1.1,1,0,1,132
I,28,part1,12.0,90,90,150,12321
I,29,2,1.1,999,0,999,2
I,30,BVA1,0.1,100,10,111,132
I,31,BVA2,1.1,1,0,1,132
I,32,part1,12.0,90,90,150,12321
I,33,2,1.1,999,0,999,2
I,34,BVA1,0.1,100,10,111,132
I,35,BVA2,1.1,1,0,1,132
I,36,part1,12.0,90,90,150,12321
I,37,2,1.1,999,0,999,2
I,38,BVA1,0.1,100,10,111,132
I,39,BVA2,1.1,1,0,1,132
I,40,part1,12.0,90,90,150,12321
I,41,2,1.1,999,0,999,2
I,42,BVA1,0.1,100,10,111,132
I,43,BVA2,1.1,1,0,1,132
I,44,part1,12.0,90,90,150,12321
I,45,2,1.1,999,0,999,2
I,46,BVA1,0.1,100,10,111,132
I,47,BVA2,1.1,1,0,1,132
I,48,part1,12.0,90,90,150,12321
I,49,2,1.1,999,0,999,2
I,50,BVA1,0.1,100,10,111,132
I,51,BVA2,1.1,1,0,1,132
I,52,BVA1,0.1,100,10,111,132
I,53,part1,12.0,90,90,150,12321
I,54,part1,12.0,90,90,150,12321
I,55,2,1.1,999,0,999,2
I,56,BVA1,0.1,100,10,111,132
I,57,BVA2,1.1,1,0,1,132
I,58,BVA1,0.1,100,10,111,132
I,59,part1,12.0,90,90,150,12321
I,60,part,10.0,2,1,3,11
I,61,part_mock,10.0,2,1,3,11
I,62,part_mock,10.0,2,1,3,11
I,63,part_mock,10.0,2,1,3,11
P,1,Clock,7.45,7,2,20,1:2:3
P,2,product2,12.34,12,1,12,4
P,4,products4,11.0,2,1,10,5:8:7:7
